timestamp,temperature,humidity,co2,vibration,energy_usage,temp_status,hum_status,co2_status,vib_status,energy_status
2025-05-02 09:07:51,28.8109,25,379.331,4.30008,642.667,yellow,red,green,green,green
2025-05-02 09:07:52,24.8112,42.448,545.065,3.45829,473.423,green,yellow,green,green,green
2025-05-02 09:07:53,23.322,62.2011,516.04,3.18922,635.941,green,green,green,green,green
2025-05-02 09:07:54,24.132,42.2056,712.182,4.13737,816.915,green,yellow,yellow,green,yellow
2025-05-02 09:07:55,26.5809,37.0397,558.68,4.10501,700.961,green,yellow,green,green,green
2025-05-02 09:07:56,27.5666,51.9523,688.643,3.35725,628.577,yellow,green,green,green,green
2025-05-02 09:07:57,20.9592,65.2095,775.516,1.80754,737.377,green,green,yellow,green,green
2025-05-02 09:07:58,27.6941,48.2055,647.26,5.57285,722.946,yellow,green,green,yellow,green
2025-05-02 09:07:59,26.2489,44.4715,603.797,4.71302,873.43,green,yellow,green,green,yellow
2025-05-02 09:08:00,24.915,57.5473,513.1,1.42978,497.649,green,green,green,green,green
2025-05-02 09:08:01,26.3604,48.1107,1200,6.69478,744.076,green,green,red,yellow,green
2025-05-02 09:08:02,25.8305,49.366,560.101,1.30956,477.356,green,green,green,green,green
2025-05-02 09:08:03,23.7961,44.9528,591.592,3.73993,808.093,green,yellow,green,green,yellow
2025-05-02 09:08:04,24.1478,58.805,632.481,3.71375,652.654,green,green,green,green,green
2025-05-02 09:08:05,22.663,45.1606,806.343,3.19349,506.905,green,green,yellow,green,green
2025-05-02 09:08:06,23.6357,34.1414,637.445,2.57708,736.02,green,red,green,green,green
2025-05-02 09:08:07,25.5664,42.3077,704.493,1.01368,863.342,green,yellow,yellow,green,yellow
2025-05-02 09:08:08,23.1798,55.7139,558.122,4.15115,683.688,green,green,green,green,green
2025-05-02 09:08:09,26.9035,48.661,729.698,2.47129,615.041,green,green,yellow,green,green
2025-05-02 09:08:10,23.2045,57.4779,621.854,2.30858,633.069,green,green,green,green,green
2025-05-02 09:08:11,24.056,63.265,775.247,2.22775,1200,green,green,yellow,green,red
2025-05-02 09:08:12,26.0427,55.5771,463.901,2.89806,474.453,green,green,green,green,green
2025-05-02 09:08:13,26.4928,60.1235,667.513,5.03935,794.772,green,green,green,yellow,green
2025-05-02 09:08:14,26.4462,50.29,614.623,2.80186,613.645,green,green,green,green,green
2025-05-02 09:08:15,26.9966,40.2324,558.626,4.22563,769.934,green,yellow,green,green,green
2025-05-02 09:08:16,24.7063,59.0177,478.105,4.931,561.24,green,green,green,green,green
2025-05-02 09:08:17,24.4843,59.4069,530.829,2.12876,766.122,green,green,green,green,green
2025-05-02 09:08:18,25.5336,39.1394,666.648,1.03705,812.612,green,yellow,green,green,yellow
2025-05-02 09:08:19,26.3031,47.5267,516.642,2.23056,668.284,green,green,green,green,green
2025-05-02 09:08:20,23.3151,49.8728,642.065,3.78591,670.169,green,green,green,green,green
2025-05-02 09:08:21,33,44.7468,555.193,4.06861,830.885,red,yellow,green,green,yellow
2025-05-02 09:08:22,26.1446,49.5082,746.69,1.31078,740.251,green,green,yellow,green,green
2025-05-02 09:08:23,22.8625,46.0234,736.08,2.43534,909.804,green,green,yellow,green,yellow
2025-05-02 09:08:24,24.4386,43.5658,461.869,0.386549,685.635,green,yellow,green,green,green
2025-05-02 09:08:25,25.537,55.5732,576.541,3.35204,780.767,green,green,green,green,green
2025-05-02 09:08:26,26.5876,44.2613,584.203,3.51548,662.009,green,yellow,green,green,green
2025-05-02 09:08:27,26.1461,48.9941,596.026,5.48356,669.831,green,green,green,yellow,green
2025-05-02 09:08:28,29.2035,50.6923,819.389,4.51793,725.059,yellow,green,yellow,green,green
2025-05-02 09:08:29,24.7146,49.5712,442.111,3.47274,656.804,green,green,green,green,green
2025-05-02 09:08:30,23.2896,55.1318,695.151,0.715202,549.454,green,green,green,green,green
2025-05-02 09:08:31,27.2776,46.7663,441.072,5.45681,1200,yellow,green,green,yellow,red
2025-05-02 09:08:32,27.974,50.6617,548.069,3.89494,649.319,yellow,green,green,green,green
2025-05-02 09:08:33,25.7021,39.5176,644.933,1.39908,736.186,green,yellow,green,green,green
2025-05-02 09:08:34,25.4174,55.0286,664.58,5.48844,531.83,green,green,green,yellow,green
2025-05-02 09:08:35,23.5305,39.1942,607.509,3.94218,694.242,green,yellow,green,green,green
2025-05-02 09:08:36,25.2705,48.4525,411.111,1.32448,550.999,green,green,green,green,green
2025-05-02 09:08:37,23.9922,61.3013,593.755,3.70689,926.504,green,green,green,green,yellow
2025-05-02 09:08:38,27.1782,62.6169,469.283,1.06642,841.806,yellow,green,green,green,yellow
2025-05-02 09:08:39,25.0585,49.7724,633.689,3.30897,540.717,green,green,green,green,green
2025-05-02 09:08:40,21.9257,45.9324,688.279,3.01325,718.604,green,green,green,green,green
